"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1207737364484898822",2019-12-19 19:00:01,"KVUE","KVUE REWIND: #TexasLonghorns fall to No. 10 #OregonDucks in 2013 #ValeroAlamoBowl (Dec. 30, 2013) <U+0001F3C8> #ThisIsTexas #HookEm <U+0001F918>  https://t.co/ax7t10bqIL",1,1,NA,1105
"1208126496562397185",2019-12-20 20:46:17,"rob_hblawdfw","@EmmittSmith22 Happy for him,  but wish I had gotten to see him in burnt orange...#hookem",0,0,NA,329
"1208125768758439943",2019-12-20 20:43:23,"BigChrizzle","@MikeRoach247 @247Sports Well deserved. #HookEm <U+0001F918><U+0001F3FE>",0,0,NA,2549
"1207788439585861632",2019-12-19 22:22:58,"BigChrizzle","@BCarringtonUT So dope! #HookEm <U+0001F918><U+0001F3FE>",0,0,NA,2549
"1208041468281143301",2019-12-20 15:08:25,"TFB_Texas","#Texas added 2020 LB Jaylan Ford to their class with a signing day flip

<U+0001F918>Darius (@DTerrell05) fills you in on what the Horns are getting with his commitment analysis #HookEm

[D]https://t.co/t7XNxe0HdR https://t.co/WLpufkH5cU",27,2,NA,61
"1208123118201520129",2019-12-20 20:32:51,"TFB_Texas","Spending the weekend watching the Texas HS State Championship?<U+0001F60E>

Come join us in our discussion of Texas targets &amp; commits as they pursue a ring on the biggest stage. <U+0001F48D> #HookEm 

https://t.co/AELJRE2vaV https://t.co/9U9mOdOnkZ",9,1,NA,61
"1208115164437979136",2019-12-20 20:01:15,"sportsaustin","Head to the @ErwinCenter this Sunday at noon to watch @TexasWBB take on Stanford.

#HookEm<U+0001F918> | #AllForTexas<U+0001F3C0>

Tickets: https://t.co/jl0ZzOWRnj https://t.co/mH4jLleacZ",4,1,NA,484
"1208110066949394432",2019-12-20 19:41:00,"ChaseHidalgo","<U+0001F4CD>Austin, Tx #HookEm 

Need Signatures: <U+0001F58A>
1.
2.
3. 
Etc. https://t.co/7hxq166I3U",106,10,NA,3509
"1208108772268359680",2019-12-20 19:35:51,"TXRecruitingTX","#HookEm <U+0001F918> https://t.co/vY5YMUgnrQ",38,0,NA,1292
"1208103724146733056",2019-12-20 19:15:47,"mattjlange","<U+0001F92B><U+0001F918>

#ThisIsTexas #HookEm #CloUT2020 https://t.co/TnlGZNKWi7",185,14,"Austin, TX",623
"1208102814364372993",2019-12-20 19:12:11,"JSteely123","@dee_overshown6 You guys have more heart and desire most of the time! #HookEm",5,0,NA,6
"1208101532748722179",2019-12-20 19:07:05,"RS3Turf","We went down and did a quick face-lift for our neighbors at @UTAustin, @texaslonghorns and @TexasSoftball. We laser graded the infield, re-set base anchors and added a new pitching rubber and home plate so the field is ready for @Big12Conference / @D1Softball in 2020! #HookEm https://t.co/XyleDK6AZr",14,2,NA,189
